details,url index
"Kenmare double-breasted suit jacket in Italian wool Item BH200 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit Relaxed fit. Slightly shorter in length than our Ludlow jackets. Product Details Meet the next generation of suiting: the Kenmare suit, designed for a versatile, laid-back silhouette that's still polished enough for more formal occasions. We tailor this suit jacket with a wider lapel and slightly more room in the body compared to our Ludlow suits. We cut this suit in fabric woven by one of the finest mills in Italy, which has been owned by the same family for almost 50 years. Wool is a natural fiber that's both insulating and breathable, so it keeps you comfortable in a range of temperatures. It has a lightweight-yet-luxurious feel, and a refined appearance that makes it ideal for suiting. 100% wool. Double-breasted. Peak lapel. Nonfunctional buttons at cuffs. Double vent. Fully lined. Dry clean. Import. Select stores. Item BH200.",7311
"Wallace & Barnes three-button chore blazer Item BP928 Color : English Khaki All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit 2 1/2"" lapel width. 42 1/2"" chest; 28"" long (based on size 40). Product Details Wallace & Barnes is our exclusive collection of rugged essentials inspired by traditional workwear, military surplus, vintage uniforms and classic outdoor gear. Versatile and lightweight, this chore jacket is part casual daytime outer layer and part sharp blazer. No matter how you choose to wear it, it'll have a long life: It's made in durable 100 percent cotton that will break in over time as you make it your own. 100% cotton. Notch lapel. Functional buttons at cuffs. Unlined. Dry clean. Import. Select stores. Item BP928.",7306
"Ludlow Classic-fit unstructured suit jacket in stretch cotton Item J3466 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit Classic fit. Product Details Our Ludlow Slim-fit unstructured suit has been such a hit, this season we're offering it in our classic fit, tailored with the athletic guy in mind. Using the same super-breathable cotton fabric from Portugal's Somelos mill, it's unlined and unpadded, with unlimited ways to make it your own. We call it the Un-suit, and it's the most versatile suit a guy can have. This one has a bit of stretch, which makes it more comfortable when you're running for the train or just sitting down with clients. Cotton/Lycra® spandex. 3 1/2"" notch lapel. Pickstitching along collar, lapel and pockets. Two-button closure. Double vent. Nonfunctional buttons at cuffs. Dry clean. Import. Online only. Item J3466.",7308
"Kenmare suit jacket in English cotton corduroy Item BK176 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit Relaxed fit. Product Details Meet the next generation of suiting: the Kenmare suit, designed for a versatile, laid-back silhouette that's still polished enough for more formal occasions. We tailor this suit jacket with a wider lapel and slightly more room in the body compared to our Ludlow suits. We cut this suit in 8-wale corduroy from Brisbane Moss (est. 1858), a mill founded in England's Calder Valley and renowned for its expert craftsmanship in hardy fabrics. Relaxed fit. Slightly shorter in length than our Ludlow jackets. 100% cotton. Two-button closure. Notch lapel. Nonfunctional buttons at cuffs. Single vent. Dry clean. Import. Select stores. Item BK176.",7312
"Crosby Classic-fit suit jacket in English wool Item BM134 Color : Charcoal Mini Check All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit Classic fit. Product Details We changed the suiting game when we introduced the Crosby in 2008, proving that you can get a suit made with the world's best fabrics - and with details you'd find in a four-figure suit - for a fraction of the cost. The Crosby is a classic fit designed in new fabrics from renowned mills every season. This 100 percent wool fabric is crafted with high-twist yarns in an open weave so it's lighter and more breathable than you might expect. The weaving technique creates a dry handfeel and offers excellent recovery (meaning your suit won't look baggy after a day's wear), making it an especially good choice for warmer or more humid climates. We sourced this three-season wool from William Halstead (est. 1875), a mill in Bradford, England, where they've been weaving fine worsted fabrics for nearly 150 years. 100% wool. Notch lapel. Two-button closure. Double vent. Nonfunctional buttons at cuffs. Unlined. Dry clean. Import. Select stores. Item BM134.",7310
"Ludlow Slim-fit unstructured suit jacket in stretch cotton Item G0532 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit Tailored, modern cut with a trim silhouette. Product Details We changed the suiting game when we introduced the Ludlow in 2008, proving that you can get a suit made with the world's best fabrics and with details you'd find in a four-figure suit for a fraction of the cost. Today, the Ludlow comes in two fits and new fabrics from renowned mills every season. Introduced in 2017, our Ludlow unstructured suit has become a customer favorite. Unpadded and with unlimited ways to wear it, we call it the Un-suit, and it's the most versatile suit you can own. We cut this suit jacket in cotton fabric with a touch of stretch from Portugal's Somelos mill (established in 1958), which specializes in lightweight fabrics with a focus on quality and craftsmanship comparable to what you'd expect from Italy's most famous mills. Cotton/Lycra® spandex. Notch collar. Button closure. Double vent. Nonfunctional buttons at cuffs. Dry clean. Import. Select stores. Item G0532.",7309
"Ludlow Slim-fit suit jacket in English cotton-wool Item BH230 Color : Charcoal All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit Slim fit. Product Details We changed the suiting game when we introduced the Ludlow in 2008, proving that you can get a suit made with the world's best fabrics and with details you'd find in a four-figure suit for a fraction of the cost. Today, the Ludlow comes in two fits and new fabrics from renowned mills every season. We cut this suit jacket in cotton-wool from Abraham Moon & Sons, which is renowned as one of the world's finest fabric mills. Established in 1837 in Guiseley, England, it's one of the last in Great Britain to handle everything from dyeing to spinning to finishing all in one place. 53% cotton/47% wool. Two-button closure. Notch lapel. Nonfunctional buttons at cuffs. Unlined. Dry clean. Import. Select stores. Item BH230.",7307
"Kenmare suit jacket in Italian wool Item BC903 Color : Deep Navy All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit Slightly shorter in length than our Ludlow jackets. Product Details Meet the next generation of suiting: The Kenmare suit, designed for a versatile, laid-back silhouette that's still polished enough for more formal occasions. We tailor this suit jacket with a wider lapel and slightly more room in the body compared to our Ludlow suits. This suit is cut in wool by Loro Piana, a legendary Italian mill that has been family-owned for six generations and is considered one of the best in the world. Loro Piana is famous for its commitment to innovating fabrics and for working with the very best raw materials that result in this luxe, lightweight fabric. Wool. 3 7/8"" lapel. Relaxed silhouette. Two-button closure. Waist flap pockets, chest welt pocket. Double vent. Lined sleeves. Dry clean. Import. Select stores. Item BC903.",7314
"Ludlow Classic-fit suit jacket in Italian chino Item AT162 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit Classic fit. Product Details We changed the suiting game when we introduced the Ludlow in 2008, proving that you can get a suit made with the world's best fabrics and with details you'd find in a four-figure suit for a fraction of the cost. Today, the Ludlow comes in two fits and new fabrics from renowned mills every season. We cut this suit in fabric from Duca Visconti di Modrone, an Italian mill known for making premium fabrics since 1838. Cotton. Partially lined. Two-button closure. Flap pockets. Nonfunctional buttons at cuffs. Dry clean. Import. Online only. Item AT162. Our Fabrics, Re-imagined Re-imagined This style contains at least 30% of a Re-imagined fabric, which contributes to our goal of sustainably sourcing 100% of our key fibers by 2025. Learn More Shop All Re-imagined",7315
"Kenmare suit jacket in English wool Item BK195 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit Relaxed fit. Slightly shorter in length than our Ludlow jackets. Product Details Meet the next generation of suiting: the Kenmare suit, designed for a versatile, laid-back silhouette that's still polished enough for more formal occasions. We tailor this suit jacket with a wider lapel and slightly more room in the body compared to our Ludlow suits. We cut this suit in a heavy wool from Abraham Moon & Sons, which is renowned as one of the world's finest fabric mills. Established in 1837 in Guiseley, England, it's one of the last in Great Britain to handle everything from dyeing to spinning to finishing all in one place. 100% wool. Notch lapel. Two-button closure. Nonfunctional buttons at cuffs. Fully lined. Dry clean. Import. Select stores. Item BK195.",7313
"best seller Ludlow Classic-fit suit jacket in Italian stretch four-season wool blend Item J3274 Color : Navy All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit Classic fit. Product Details We changed the suiting game when we introduced the Ludlow in 2008, proving that you can get a suit made with the world's best fabrics and with details you'd find in a four-figure suit for a fraction of the cost. Today, the Ludlow comes in two fits and new fabrics from renowned mills every season.  This suit jacket is crafted in a year-round-weight worsted wool from Tollegno 1900 (est. 1862, making it one of the oldest mills in Italy) and has a bit of stretch that makes it more comfortable when you're running for the train or just sitting down with clients. Worsted wool/elastane. 3 1/2"" notch lapel. Pickstitching along collar, lapel and pockets. Two-button closure. Double vent. Nonfunctional buttons at cuffs. Lined in high-quality Bemberg lining. Dry clean. Import. Select stores. Item J3274.",7316
"Ludlow Classic-fit suit jacket with center vent in Italian wool Item B2097 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit A tailored, modern cut with a roomier fit than our Ludlow Slim, for the guy with an athletic build. Product Details The Ludlow suit, tailored with the athletic guy in mind: We added extra room in the chest, shoulders and sleeves but kept the quality construction and timeless design we're famous for. This suit jacket is crafted in the finest wool from an Italian mill that's been family owned for 16 generations and is considered one of the best in the world.  Find out how to get the perfect fit. Did you know: You can mix and match the Ludlow Classic and Ludlow Slim for a perfect fit. Italian wool. 3 1/2"" notch lapel. Two-button closure. Nonfunctional buttons at cuffs. Pickstitching along collar, lapel and pockets. Center vent. Bemberg lining. Dry clean. Import. Item B2097.",7317
"Ludlow Classic-fit suit jacket with double vent in charcoal American wool Item J3425 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit Classic fit. Product Details We changed the suiting game when we introduced the Ludlow in 2008, proving that you can get a suit made with the world's best fabrics and with details you'd find in a four-figure suit for a fraction of the cost. Today, the Ludlow comes in two fits and new fabrics from renowned mills every season. We cut this suit jacket in wool that has the refined feel of a fabric you'd get from Italy, which is no surprise since American Woolen Co. (est. 1899), the historic Connecticut mill that weaves it, once supplied one of Italy's most respected fabric houses. Wool. 3 1/2"" notch lapel. Pickstitching along collar, lapel and pockets. Two-button closure. Double vent. Nonfunctional buttons at cuffs. Lined. Dry clean. Import. Item J3425.",7318
"Wallace & Barnes Slim-fit chore blazer in cotton-linen Item G6710 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit Slim fit. Product Details Wallace & Barnes is our exclusive collection of modern, rugged essentials inspired by traditional workwear, old military uniforms and classic outdoor gear. Versatile and lightweight, this chore jacket is part casual daytime outer layer and part sharp blazer. No matter how you choose to wear it, it'll have a long life: It's made in durable cotton-linen twill and garment-dyed, so it will fade gently over time as you make it your own. Cotton/linen. Pickstitching along collar, lapel and pockets. Three-button closure. Functional buttons at cuffs. Partially lined. Machine wash. Import. Select stores. Item G6710. Our Fabrics, Re-imagined Re-imagined This style contains at least 30% of a Re-imagined fabric, which contributes to our goal of sustainably sourcing 100% of our key fibers by 2025. Learn More Shop All Re-imagined",7305
"Ludlow Classic-fit suit jacket with double vent in Italian wool Item C3268 Color : Deep Navy All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit Classic fit. Product Details We changed the suiting game when we introduced the Ludlow in 2008, proving that you can get a suit made with the world's best fabrics and with details you'd find in a four-figure suit for a fraction of the cost. Today, the Ludlow comes in two fits and new fabrics from renowned mills every season. This suit jacket is crafted in the finest wool from an Italian mill that's been family owned for six generations and is considered one of the best in the world. Italian wool. 3 1/2"" Notch lapel. Two-button closure. Nonfunctional buttons at cuffs. Pickstitching along collar, lapel and pockets. Double vent. Bemberg lining. Dry clean. Import. Online only. Item C3268.",7319
"Ludlow Classic-fit unstructured suit jacket in English wool-cotton Item AA338 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit Classic fit. Product Details We changed the suiting game when we introduced the Ludlow in 2008, proving that you can get a suit made with the world's best fabrics and with details you'd find in a four-figure suit for a fraction of the cost. Today, the Ludlow comes in two fits and new fabrics from renowned mills every season. Introduced in 2017, our Ludlow unstructured suit has become a customer favorite. Unlined, unpadded and with unlimited ways to wear it, we call it the Un-suit, and it's the most versatile suit you can have. We cut this blazer in our famous Ludlow silhouette using a wool-cotton fabric from England's Abraham Moon mill, which is considered one of the finest mills in the world. Wool/cotton. Pickstitching along collar, lapel and pockets. Two-button closure. Double vent. Nonfunctional buttons at cuffs. Dry clean. Import. Select stores. Item AA338. Our Fabrics, Re-imagined Re-imagined This style contains at least 30% of a Re-imagined fabric, which contributes to our goal of sustainably sourcing 100% of our key fibers by 2025. Learn More Shop All Re-imagined",7321
"Ludlow Classic-fit unstructured suit jacket in windowpane English herringbone wool Item AA373 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit Classic fit. Product Details We changed the suiting game when we introduced the Ludlow in 2008, proving that you can get a suit made with the world's best fabrics and with details you'd find in a four-figure suit for a fraction of the cost. Today, the Ludlow comes in two fits and new fabrics from renowned mills every season. We cut this one in our famous Ludlow silhouette using a wool herringbone fabric from England's Abraham Moon mill, which is considered one of the finest mills in the world. Wool. Pickstitching along collar, lapel and pockets. Two-button closure. Double vent. Nonfunctional buttons at cuffs. Lined. Dry clean. Import. Select stores. Item AA373.",7322
"Ludlow Classic-fit unstructured suit jacket in cotton-linen Item J3469 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit Classic fit. Product Details We changed the suiting game when we introduced the Ludlow in 2008, proving that you can get a suit made with the world's best fabrics and with details you'd find in a four-figure suit for a fraction of the cost. Today, the Ludlow comes in two fits and new fabrics from renowned mills every season. Introduced in 2017, our Ludlow unstructured suit has become a customer favorite. Unpadded and with unlimited ways to wear it, we call it the Un-suit, and it's the most versatile suit you can own.We cut this suit jacket in fabric from Portugal's Somelos mill (established in 1958), which specializes in lightweight fabrics with a focus on quality and craftsmanship comparable to what you'd expect from Italy's most famous mills. Cotton/linen. 3 1/2"" notch lapel. Pickstitching along collar, lapel and pockets. Two-button closure. Double vent. Nonfunctional buttons at cuffs. Dry clean. Import. Online only. Item J3469. Our Fabrics, Re-imagined Re-imagined This style contains at least 30% of a Re-imagined fabric, which contributes to our goal of sustainably sourcing 100% of our key fibers by 2025. Learn More Shop All Re-imagined",7320
"Ludlow Essential Classic-fit suit jacket in stretch glen plaid four-season wool Item AC533 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit Classic fit. Product Details We changed the suiting game when we introduced the Ludlow in 2008, proving that you can get a suit made with the world's best fabrics and with details you'd find in a four-figure suit for a fraction of the cost. Today, the Ludlow comes in two fits and new fabrics from renowned mills every season. When you need to look sharp through killer presentations, killer (in a different way) commutes and everything else the nine-to-five throws at you, this is your essential move. Cut in stretch four-season wool, it has all the high-quality details you expect from a Ludlow, at a price designed to help you put one (or a few) in your rotation. This suit jacket is crafted in a classic fit designed with the athletic guy in mind. Wool/poly/elastane. Pickstitching along collar, lapel and pockets. Two-button closure. Double vent. Nonfunctional buttons at cuffs. Lined. Dry clean. Import. Select stores. Item AC533.",7324
