details,url index
"Ruched sweetheart one-piece Item BF176 Color : Tea Rose AUD 118.00 AUD 91.00 AUD 85.00 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit Full coverage. Midcut leg. High-rise back. Coverage scale Streamlined, supportive and great for swimming. Product Details We re-imagined every single suit in our swim collection using over 60 percent recycled materials to help keep waste out of oceans and landfills. This suit is made from a special fabric that incorporates recycled nylon. With a pretty sweetheart neckline and delicate gathered ruching, it may just be our most romantic one-piece yet. 82% recycled nylon/18% elastane. 92% recycled poly/8% elastane lining. Built-in UPF 50 sun protection (recommended by the Skin Cancer Foundation as an effective UV protectant, in addition to SPF). Removable padding and straps. Our swimsuits are machine washable, but we recommend hand washing, as it helps keep the fabric and shape of the suit looking newer, longer. Import. Select stores. Item BF176. Our Fabrics, Re-imagined Re-imagined This style contains at least 30% of a Re-imagined fabric, which contributes to our goal of sustainably sourcing 100% of our key fibers by 2025. Recycled This product is made with at least 30% recycled material, which helps keep waste from entering landfills. Learn More Shop All Re-imagined",21914
"Ruched tie-shoulder one-piece swimsuit in classic gingham Item BP143 Color : White Navy All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Coverage scale The Goldilocks of coverage, not too little or too much. Product Details Everything is more flattering with a bit of ruching. Especially this one-piece suit, with cute tie details at the shoulders and a retro gingham print. 93% nylon/7% elastane. 92% polyester/8% elastane Repreve® lining. Removable pads. Our swimsuits are machine washable, but we recommend hand washing, as it helps keep the fabric and shape of the suit looking newer, longer. Import. Online only. Item BP143. Our Fabrics, Re-imagined Recycled This product is made with at least 30% recycled material, which helps keep waste from entering landfills. Learn More Shop All Re-imagined",21917
"Ruched swim dress in classic gingham Item BP139 Color : White Navy All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Coverage scale Streamlined, supportive and great for swimming. Product Details A swimsuit and a cover-up in one (score!), this flattering ruched style was crafted with nylon made from recycled materials that could otherwise go to landfills. 93% nylon/7% elastane. 92% polyester/8% elastane Repreve® lining. Removable pads. Our swimsuits are machine washable, but we recommend hand washing, as it helps keep the fabric and shape of the suit looking newer, longer. Import. Online only. Item BP139. Our Fabrics, Re-imagined Recycled This product is made with at least 30% recycled material, which helps keep waste from entering landfills. Learn More Shop All Re-imagined",21915
"Ruched tie-shoulder bikini top in strawberry floral Item BE731 Color : White All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit Full coverage. Product Details We re-imagined every single suit in our swim collection using over 60 percent recycled materials to help keep waste out of oceans and landfills. This one is made with a special fabric that incorporates recycled nylon. Plus, everything is more flattering with a bit of ruching. Case in point: our bikini top with a sweetheart neckline and even sweeter ties at the shoulders, now in a striking floral and solid navy combination. 82% recycled nylon/18% elastane. 92% recycled poly/8% elastane lining. Removable padding and straps. Our swimsuits are machine washable, but we recommend hand washing, as it helps keep the fabric and shape of the suit looking newer, longer. Import. Select stores. Item BE731. Our Fabrics, Re-imagined Re-imagined This style contains at least 30% of a Re-imagined fabric, which contributes to our goal of sustainably sourcing 100% of our key fibers by 2025. Recycled This product is made with at least 30% recycled material, which helps keep waste from entering landfills. Learn More Shop All Re-imagined",21916
"Ruched underwire bikini top in polka dot Item BE743 Color : Sable All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit Full coverage. Product Details We re-imagined every single suit in our swim collection using over 60 percent recycled materials to help keep waste out of oceans and landfills. This retro favorite—with sculpted cups and supportive crisscross straps—is crafted from a special fabric that incorporates recycled nylon. Plus, its lining is also made with a recycled polyester. 82% recycled nylon/18% elastane. 92% recycled poly/8% elastane lining. Unpadded. Underwire. Our swimsuits are machine washable, but we recommend hand washing, as it helps keep the fabric and shape of the suit looking newer, longer. Import. Select stores. Item BE743.",21919
"Ruched tie-shoulder one-piece Item BC128 Color : Blue Mist All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit Moderate-coverage bottom. Midcut leg. High-rise back. Coverage scale The Goldilocks of coverage, not too little or too much. Product Details We re-imagined every single suit in our swim collection using over 60 percent recycled materials to help keep waste out of oceans and landfills. This one-piece, with a sweetheart neckline and even sweeter ties at the shoulders, is crafted from a special fabric that incorporates recycled nylon. Plus, everything is more flattering with a bit of ruching. Removable padding and straps. 82% recycled nylon/18% elastane. 92% recycled poly/8% elastane lining. Built-in UPF 50 sun protection (recommended by the Skin Cancer Foundation as an effective UV protectant, in addition to SPF). Our swimsuits are machine washable, but we recommend hand washing, as it helps keep the fabric and shape of the suit looking newer, longer. Import. Online only. Item BC128. Our Fabrics, Re-imagined Re-imagined This style contains at least 30% of a Re-imagined fabric, which contributes to our goal of sustainably sourcing 100% of our key fibers by 2025. Recycled This product is made with at least 30% recycled material, which helps keep waste from entering landfills. Learn More Shop All Re-imagined",21918
"Side-ruched midi dress Item BF155 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit 45 1/2"" from high point of shoulder. Product Details We believe a good vacation starts with a well-packed suitcase. That's why this resort-ready dress, with a chic midi silhouette and side ruching, is the first thing on our packing list. It's also crafted with a touch of TENCEL™ lyocell (an eco-friendly fiber produced from wood pulp sourced from sustainably managed and certified forests—meaning not ancient or endangered!). TENCEL lyocell/elastane. Machine wash. Import. Select stores. Item BF155.",21922
"Strapless ruffle-hem swim dress in seersucker stripe Item BP153 Color : White Retro Blue All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Coverage scale Streamlined, supportive and great for swimming. Product Details A swimsuit and a cover-up in one (score!), this flattering strapless style features a sweet ruffle hem and a classic stripe print. Plus, it's made from polyester recycled from plastic that could otherwise go to landfills. 56% recycled polyester/40% nylon/4% elastane. 92% polyester/8% elastane Repreve® lining. Removable pads. Our swimsuits are machine washable, but we recommend hand washing, as it helps keep the fabric and shape of the suit looking newer, longer. Import. Online only. Item BP153. Our Fabrics, Re-imagined Recycled This product is made with at least 30% recycled material, which helps keep waste from entering landfills. Learn More Shop All Re-imagined",21923
"Ruffle V-neck ruched one-piece swimsuit in classic gingham Item BP135 Color : White Navy All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Coverage scale The Goldilocks of coverage, not too little or too much. Product Details The deep-V swimsuit gets a suuupersweet update we can't get enough of: all the ruffles! Plus, this style comes in a cute gingham print and was crafted with nylon made from recycled materials that could otherwise go to landfills. 93% nylon/7% elastane. 92% polyester/8% elastane Repreve® lining. Removable pads. Our swimsuits are machine washable, but we recommend hand washing, as it helps keep the fabric and shape of the suit looking newer, longer. Import. Online only. Item BP135. Our Fabrics, Re-imagined Recycled This product is made with at least 30% recycled material, which helps keep waste from entering landfills. Learn More Shop All Re-imagined",21920
"best seller Ruffle V-neck ruched one-piece swimsuit Item BP222 Color : Lemon Sorbet All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Coverage scale The Goldilocks of coverage, not too little or too much. Product Details The deep-V swimsuit gets a suuupersweet update we can't get enough of: all the ruffles! Plus, this style was crafted with nylon made from recycled materials that could otherwise go to landfills. 82% polyamide/18% elastane. 92% polyester/8% elastane Repreve® lining. Removable pads. Our swimsuits are machine washable, but we recommend hand washing, as it helps keep the fabric and shape of the suit looking newer, longer. Import. Online only. Item BP222. Our Fabrics, Re-imagined Recycled This product is made with at least 30% recycled material, which helps keep waste from entering landfills. Learn More Shop All Re-imagined",21921
