details,url index
"Utility mini skirt in leopard Item BK714 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit Sits at waist. Length: 17"". Falls above knee. Product Details Take on the day in a utility-inspired mini as versatile as it is cool. By buying cotton products from J.Crew, you're supporting our investment in Better Cotton's mission to help cotton communities survive and thrive while protecting and restoring the environment. This product is sourced through a system of mass balance and therefore may not contain Better Cotton. 97% cotton/3% elastane. Zip fly. Traditional 5-pocket styling. Machine wash. Import. Select stores. Item BK714. Our Fabrics, Re-imagined Re-imagined This style contains at least 30% of a Re-imagined fabric, which contributes to our goal of sustainably sourcing 100% of our key fibers by 2025. Learn More Shop All Re-imagined",19480
"Tulle skirt with metallic dots Item AP231 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit Falls below knee. Length: 33 1/2"". Product Details How to get all dressed up without the dress? Enter this superfun tulle skirt that's covered in glittery polka dots. We love pairing it with a crisp white tee for an outfit that makes any day feel like a celebration. Poly. Back zip. Lined. Dry clean. Import. Online only. Item AP231.",19479
"Wrap skirt in stretch linen Item BI734 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit Sits at waist. Length: 17"". Falls above knee. Product Details Perfect for the office...and perfect for those warm summer days. We crafted this structured style in easy-to-move-in stretch linen that stays cool and looks sharp all day long (think: minimal wrinkling). Linen/poly. Dry clean. Import. Online only. Item BI734. Our Fabrics, Re-imagined Re-imagined This style contains at least 30% of a Re-imagined fabric, which contributes to our goal of sustainably sourcing 100% of our key fibers by 2025. Learn More Shop All Re-imagined",19485
"Wool mini skirt in herringbone Item AC476 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit Sits at waist. Length: 18 1/2"". Falls above knee. Product Details A short (but not too short!) and slimming silhouette in a structured, polished and easy-to-move-in wool that's perfect for now and cooler days ahead. Better yet, it comes a pretty pink herringbone plaid. Wool. Back zip. Lined. Dry clean. Import. Item AC476.",19484
"White denim skirt Item H6148 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit Sits below waist. Length: 16"". Falls above knee. Product Details It doesn't get more classic than a white denim skirt...and we think this version is even more of a closet must thanks to its fun frayed hem. Cotton. Traditional 5-pocket styling. Machine wash. Import. Online only. Item H6148.",19481
"Tulip-hem skirt with pleated ruffle Item AJ992 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit Sits at waist. Length: 29"". Falls below knee. Product Details The one you'll get compliments on every time you wear it. With a midi length, tulip hem and pleated ruffles, this may be our most flattering skirt yet. Poly. Elastic waistband. Lined. Machine wash. Import. Online only. Item AJ992.",19478
"Wool flannel ruffle skirt Item G7119 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit Sits at waist. 18"" long. Falls above knee. Product Details A work-friendly take on ruffles = this tiered skirt in polished wool flannel that's perfect for fall. Wool/poly/Lycra® spandex. Elastic waistband. Lined. Dry clean. Import. Item G7119.",19483
"Denim midi skirt Item BP507 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit Sits at waist. Length: 27"". Falls below knee. Product Details Because every closet needs a classic denim skirt. . .Might we suggest this midlength option, featuring a fitted silhouette and a front slit for movement? By buying cotton products from J.Crew, you're supporting our investment in Better Cotton's mission to help cotton communities survive and thrive while protecting and restoring the environment. This product is sourced through a system of mass balance and therefore may not contain Better Cotton. Plus, it was crafted at a Fair Trade Certified™ factory that provides additional income and better conditions for the people who work there. 81% cotton/18% lyocell/1% Lycra® TENCEL™ lyocell. Side zip. Machine wash. Import. Online only. Item BP507. Our Fabrics, Re-imagined Fair Trade Certified™ This item was crafted in a Fair Trade Certified™ facility. Learn More Shop All Re-imagined",19487
"Wide-pleat midi skirt Item AW493 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit Sits at waist. Length: 34"". Falls below knee. Product Details Our newest pleated midi, this classic style features wider front pleats and a midcalf length for an extra-flattering silhouette. Poly. Back zip. Lined. Machine wash. Import. Online only. Item AW493.",19482
"Cashmere flare skirt Item BC482 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit Sits at waist. Length: 27"". Falls below knee. Product Details We upgraded our cashmere collection with finer, loftier fibers to make the soft stuff, somehow, even softer. And because we like to make a lasting impression, our new cashmere is also more enduring than ever—in both quality and style. Case in point: this classic sweater-skirt. We're invested in bringing you the best in cashmere, so you can feel great about investing in it too. We're proud to support responsible cashmere production through our partnership with the Aid by Trade Foundation (AbTF), a nonprofit that promotes sustainable agricultural development across the globe. As the foundation's first U.S. member, we source cashmere that is certified to the AbTF's The Good Cashmere Standard®, which ensures the welfare of the cashmere goats, protects natural resources and improves the working conditions of farmers and farmworkers in Inner Mongolia. Cashmere. Elastic waistband with drawstring. Hand wash. Import. Online only. Item BC482.",19486
"Quilted denim mini skirt Item BP430 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit Sits at waist. Length: 16"". Falls above knee. Product Details Because every closet needs a denim skirt. . .Might we suggest this quilted option, featuring a mini length, plus two pockets complete with gold buttons and contrast trim? We extra-love it with the matching lady jacket. By buying cotton products from J.Crew, you're supporting our investment in Better Cotton's mission to help cotton communities survive and thrive while protecting and restoring the environment. This product is sourced through a system of mass balance and therefore may not contain Better Cotton. 98% cotton/2% other fibers. Side zip. Lined. Machine wash. Import. Online only. Item BP430.",19489
"Belted maxi skirt in polka dot Item AW812 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit A-line silhouette. Length: 45 3/4"". Falls to floor. Product Details We love this full, flattering, retro-inspired skirt with everything from polished button-ups to easy tees. Poly. Back zip. Pockets. Lined. Machine wash. Import. Online only. Item AW812.",19490
"Collection stripe sequin maxi skirt Item G4962 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit Sits just below waist. 46"" long. Falls to floor. Product Details This showstopping skirt has thousands of hand-applied sequins that have been strategically sewn on to create the striped pattern you see here, which kinda makes it a wearable work of art in our book. (P.S. It was also featured in our spring/summer 2017 New York Fashion Week presentation.) Silk. Dry clean. Import. Select stores. Item G4962.",19496
"Denim skirt with raw hem Item G1271 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit Sits below waist. 18 3/4"" long. Falls above knee. Product Details The classic denim skirt (in premium Turkish cotton), plus a raw hem that's superstylish. Cotton/elastane. Zip fly. Traditional 5-pocket styling. Machine wash. Import. Item G1271.",19488
