details,url index
"Bomber jacket in merino wool blend Item AJ566 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Product Details This take on the classic military bomber jacket is built with a merino wool blend  that's just as versatile (and stylish) as the original. Perfect for layering over an oxford shirt or your favorite tee, this is a perfect transition piece to take you from fall to winter to spring. Cotton/poly/wool. Dry clean. Import. Item AJ566.",9740
"Cashmere bird's-eye half-zip sweater Item AQ855 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Product Details When it comes to quality and color, no one does cashmere quite like we do. Our best-selling and crazy-soft sweaters are the result of over 30 years of expertise, obsessing over fit, durability and handfeel. The result? They're soft and warm, while still being lightweight, which means they're the perfect layer to wear on crisp autumn days, under a jacket in colder months...even with a tee on chilly summer nights.  We're proud to support responsible cashmere production through our partnership with the Aid by Trade Foundation (AbTF), a nonprofit that promotes sustainable agricultural development across the globe. As the foundation's first U.S. member, we source cashmere that is certified to the AbTF's The Good Cashmere Standard®, which ensures the welfare of the cashmere goats, protects natural resources and improves the working conditions of farmers and farmworkers in Inner Mongolia.  Cashmere. Hand wash. Import. Select stores. Item AQ855. Our Fabrics, Re-imagined Re-imagined This style contains at least 30% of a Re-imagined fabric, which contributes to our goal of sustainably sourcing 100% of our key fibers by 2025. Learn More Shop All Re-imagined",9741
"Cashmere half-zip sweater Item BC473 Color : Navy All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Product Details When it comes to quality and color, no one does cashmere quite like we do. Our best-selling and crazy-soft sweaters are the result of over 30 years of expertise, obsessing over fit, durability and handfeel. The result? They're soft and warm, while still being lightweight, which means they're the perfect layer to wear on crisp autumn days, under a jacket in colder months...even with a tee on chilly summer nights. We're proud to support responsible cashmere production through our partnership with the Aid by Trade Foundation (AbTF), a nonprofit that promotes sustainable agricultural development across the globe. As the foundation's first U.S. member, we source cashmere that is certified to the AbTF's The Good Cashmere Standard®, which ensures the welfare of the cashmere goats, protects natural resources and improves the working conditions of farmers and farmworkers in Inner Mongolia. Cashmere. Dry clean. Import. Select stores. Item BC473. Our Fabrics, Re-imagined Re-imagined This style contains at least 30% of a Re-imagined fabric, which contributes to our goal of sustainably sourcing 100% of our key fibers by 2025. Learn More Shop All Re-imagined",9742
"Marled rugged merino wool shawl-collar sweater Item BA311 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Product Details We use a soft, naturally breathable merino wool blend to craft sweaters that are as soft and comfortable as they are durable. Merino wool/nylon. Shawl collar. Dry clean. Import. Online only. Item BA311. Our Fabrics, Re-imagined Fair Trade Certified™ This item was crafted in a Fair Trade Certified™ facility. Learn More Shop All Re-imagined",9747
"Everyday cashmere half-zip sweater Item H2515 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Product Details When it comes to quality and color, no one does cashmere quite like we do. Our best-selling and crazy-soft sweaters are the result of over 30 years of expertise, obsessing over fit, durability and handfeel. The result? They're soft and warm, while still being lightweight, which means they're the perfect layer to wear on crisp autumn days, under a jacket in colder months...even with a tee on chilly summer nights.   To honor the future of this fiber, we're proud to join the Sustainable Fibre Alliance (SFA), an international nonprofit working to create a more sustainable cashmere supply chain. As the first U.S. member, we're supporting its efforts to ensure animal welfare, advocate for herding communities, restore grasslands and reduce cashmere's environmental footprint. Learn more at sustainablefibre.org. Cashmere. Dry clean. Import. Select stores. Item H2515.",9744
"Cotton milano-stitch zip-neck ski sweater Item BJ031 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Product Details For this sweater, our designers revisited classic ski-sweater styles of the '70s and '80s, which were revived and popular with skateboarders in the ensuing years. Knit in a soft-but-sturdy milano stitch, this is unique piece might look après-ski, but can take you anywhere. 100% cotton. Full-zip. Machine wash. Import. Select stores. Item BJ031. Our Fabrics, Re-imagined Re-imagined This style contains at least 30% of a Re-imagined fabric, which contributes to our goal of sustainably sourcing 100% of our key fibers by 2025. Fair Trade Certified™ This item was crafted in a Fair Trade Certified™ facility. Learn More Shop All Re-imagined",9743
"Everyday cashmere half-zip sweater Item J6440 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Product Details When it comes to quality and color, no one does cashmere quite like we do. Our best-selling and crazy-soft sweaters are the result of over 30 years of expertise, obsessing over fit, durability and handfeel. The result? They're soft and warm, while still being lightweight, which means they're the perfect layer to wear on crisp autumn days, under a jacket in colder months...even with a tee on chilly summer nights.  To honor the future of this fiber, we're proud to join the Sustainable Fibre Alliance (SFA), an international nonprofit working to create a more sustainable cashmere supply chain. As the first U.S. member, we're supporting its efforts to ensure animal welfare, advocate for herding communities, restore grasslands and reduce cashmere's environmental footprint. Learn more at sustainablefibre.org. Cashmere. Dry clean. Import. Select stores. Item J6440. Our Fabrics, Re-imagined Re-imagined This style contains at least 30% of a Re-imagined fabric, which contributes to our goal of sustainably sourcing 100% of our key fibers by 2025. Learn More Shop All Re-imagined",9745
"Fair Isle lambswool half-zip sweater Item AT564 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Product Details It's sweater weather (and it probably will be for a while). You pretty much can't go wrong with one made from lambswool: It's soft, warm and always a good decision when the temperature starts to drop. This half-zip sweater has an eye-catching Fair Isle pattern (named after one of the Shetland Islands). Lambswool. Half zip. Dry clean. Import. Online only. Item AT564.",9746
"Merino wool half-zip sweater Item J7432 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Product Details When it comes to wools, merino can't be beat: It's naturally flexible, breathable and water-resistant, and it keeps you cool or warm depending on the temperature. This sweater will give you a more polished look than any other wool sweater in your closet. Merino wool. Half zip. Dry clean. Import. Online only. Item J7432.",9748
"Rugged merino shawl-collar sweater Item BA307 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Product Details We use a soft, naturally breathable merino wool blend to craft sweaters that are as soft and comfortable as they are durable. Merino wool/poly. Dry clean. Import. Online only. Item BA307. Our Fabrics, Re-imagined Fair Trade Certified™ This item was crafted in a Fair Trade Certified™ facility. Learn More Shop All Re-imagined",9749
